user_id,file_id,sentence_length,rating,pred_rating
0,0,37.8,4,4.08
1,0,56.62,4,4.08
2,0,22.94,4,4.29
3,0,32.35,5,3.46
4,0,46.83,5,4.64
5,0,24.59,4,4.16
6,0,80.5,4,3.25
7,0,14.28,5,4.18
8,0,12.0,3,3.9
9,0,58.62,4,4.41
10,0,51.7,3,3.84
11,0,25.38,3,4.22
12,0,21.46,5,4.86
13,0,80.75,1,3.29
14,0,51.11,5,4.44
15,0,51.0,5,4.43
16,0,61.45,4,3.66
17,0,15.91,4,4.22
18,0,26.92,4,4.12
19,0,41.66,5,4.9
20,0,48.82,5,4.47
21,0,106.0,4,4.24
22,0,26.65,5,4.01
23,0,258.0,4,4.12
24,0,36.43,4,4.08
25,0,49.82,5,3.88
26,0,29.04,5,4.23
27,0,13.43,3,4.07
28,0,132.0,3,3.94
29,0,46.27,4,4.18
30,0,60.11,4,4.42
31,0,42.27,5,4.99
32,0,34.6,5,4.51
33,0,15.33,4,4.66
34,0,66.17,5,4.69
35,0,79.25,4,3.52
36,0,37.36,5,4.55
37,0,37.29,5,4.83
38,0,30.54,4,4.01
39,0,66.71,2,4.18
40,0,140.0,4,4.06
41,0,68.83,5,3.67
42,0,71.62,5,3.2
43,0,53.57,5,4.52
44,0,32.82,2,3.49
45,0,124.25,2,4.68
46,0,114.0,5,4.33
47,0,22.26,4,4.29
48,0,30.56,4,4.0
49,0,59.29,5,4.44
50,0,46.25,4,4.2
51,0,52.22,4,3.98
52,0,8.13,4,4.14
53,0,85.8,5,4.96
54,0,21.52,5,4.86
55,0,119.08,5,4.35
56,0,18.0,5,4.13
57,0,32.23,5,3.46
58,0,371.0,2,2.28
59,0,14.78,4,4.17
60,0,12.4,4,4.24
61,0,13.45,5,4.12
62,0,34.43,4,4.2
63,0,14.1,5,3.35
64,0,37.18,5,4.84
65,0,158.67,4,3.63
66,0,39.36,4,4.15
67,0,171.33,4,4.46
68,0,28.62,4,3.91
69,0,9.43,4,4.01
70,0,221.0,5,4.08
71,0,259.5,5,4.12
72,0,84.12,5,4.31
73,0,39.15,4,4.14
74,0,41.52,5,4.79
75,0,160.0,4,3.83
0,1,44.0,4,5.0
1,1,17.48,4,4.03
2,1,16.22,2,4.25
3,1,32.62,5,4.37
4,1,67.57,2,2.9
5,1,102.4,4,4.56
6,1,32.73,4,3.69
7,1,18.17,4,4.19
8,1,36.85,3,3.88
9,1,7.96,3,4.08
10,1,93.2,4,3.99
11,1,112.67,4,3.83
12,1,184.67,5,4.4
13,1,11.98,5,4.34
14,1,55.0,5,2.71
15,1,33.75,4,3.99
16,1,36.53,4,3.86
17,1,82.0,4,4.03
18,1,69.57,3,3.64
19,1,25.12,5,4.74
20,1,15.86,5,4.61
21,1,10.0,4,3.98
22,1,164.0,4,4.08
23,1,258.0,4,4.12
24,1,30.96,4,3.97
25,1,51.9,3,3.82
26,1,67.0,4,3.91
27,1,13.7,3,3.46
28,1,159.67,3,3.79
29,1,8.13,4,4.22
30,1,10.24,3,3.68
31,1,32.67,4,3.72
32,1,39.14,5,4.14
33,1,25.57,5,4.4
34,1,32.25,2,3.46
35,1,142.33,1,3.22
36,1,179.67,4,3.88
37,1,36.33,5,4.24
38,1,25.21,5,4.68
39,1,175.33,4,4.15
40,1,54.86,4,2.74
41,1,40.4,5,4.0
42,1,39.64,5,4.41
43,1,35.54,5,4.59
44,1,56.12,4,3.93
45,1,16.7,2,3.91
46,1,46.0,5,4.35
47,1,16.87,5,4.16
48,1,9.45,4,4.0
49,1,144.33,4,3.72
50,1,60.0,5,4.42
51,1,70.5,4,3.38
52,1,110.0,4,3.86
53,1,86.0,5,4.97
54,1,12.13,5,4.24
55,1,90.33,4,4.01
56,1,94.5,4,3.99
57,1,9.16,4,4.16
58,1,371.0,2,2.28
59,1,147.8,3,3.57
60,1,33.87,4,4.0
61,1,16.5,5,4.47
62,1,45.25,4,4.48
63,1,42.02,5,4.98
64,1,37.29,5,4.84
65,1,81.0,4,4.08
66,1,123.0,4,4.43
67,1,32.85,4,3.72
68,1,33.95,4,4.0
69,1,51.82,4,3.86
70,1,42.98,5,4.99
71,1,164.5,5,4.52
72,1,61.5,5,3.53
73,1,96.0,4,3.98
74,1,61.38,3,3.64
75,1,66.38,5,4.66
0,2,172.5,5,4.48
1,2,48.38,5,4.66
2,2,18.41,4,4.19
3,2,32.62,5,4.37
4,2,31.75,5,3.32
5,2,29.57,4,4.13
6,2,38.08,4,4.15
7,2,15.9,4,4.23
8,2,36.85,3,3.88
9,2,24.83,4,4.19
10,2,57.5,3,3.94
11,2,96.4,4,4.07
12,2,108.33,5,4.2
13,2,14.12,2,3.35
14,2,171.0,5,4.66
15,2,139.5,4,4.1
16,2,17.64,2,4.03
17,2,31.75,2,3.32
18,2,65.6,4,4.56
19,2,123.38,5,4.68
20,2,15.06,5,4.59
21,2,10.0,4,3.98
22,2,199.5,4,4.28
23,2,258.0,4,4.12
24,2,99.33,4,4.53
25,2,200.67,4,4.26
26,2,27.14,4,4.17
27,2,50.5,4,3.99
28,2,161.0,3,3.95
29,2,10.1,4,3.95
30,2,24.89,4,4.21
31,2,120.5,4,4.35
32,2,27.57,4,4.1
33,2,25.57,5,4.4
34,2,25.0,5,4.66
35,2,32.17,2,3.21
36,2,140.0,4,4.06
37,2,26.63,5,4.01
38,2,18.0,4,4.13
39,2,11.36,2,3.71
40,2,27.91,2,3.41
41,2,78.25,5,3.77
42,2,65.33,4,4.67
43,2,96.33,5,4.06
44,2,37.7,4,4.09
45,2,64.0,2,3.47
46,2,20.0,5,4.71
47,2,44.83,5,4.83
48,2,9.45,4,4.0
49,2,49.71,5,4.12
50,2,82.6,5,4.33
51,2,134.33,5,4.22
52,2,113.33,4,4.1
53,2,86.0,5,4.97
54,2,45.28,4,4.27
55,2,102.1,5,4.74
56,2,144.33,4,3.72
57,2,8.93,5,4.49
58,2,371.0,2,2.28
59,2,12.0,4,3.9
60,2,52.14,4,3.93
61,2,113.9,5,4.33
62,2,31.23,4,3.9
63,2,13.27,5,4.62
64,2,42.58,5,4.99
65,2,48.83,3,4.14
66,2,10.49,4,3.87
67,2,14.55,4,4.16
68,2,33.38,4,3.94
69,2,35.56,4,4.4
70,2,70.25,3,3.36
71,2,127.0,5,4.69
72,2,8.3,5,4.68
73,2,55.62,3,3.07
74,2,112.25,4,3.67
75,2,6.0,4,4.08
0,3,81.4,5,4.3
1,3,55.12,4,2.72
2,3,164.33,4,4.23
3,3,23.55,5,4.34
4,3,62.71,5,3.53
5,3,78.4,2,3.32
6,3,136.67,4,4.28
7,3,14.04,4,3.41
8,3,67.6,2,2.89
9,3,180.0,3,3.85
10,3,75.78,2,2.84
11,3,96.4,4,4.07
12,3,57.0,5,4.21
13,3,13.0,4,4.39
14,3,86.0,5,4.97
15,3,49.86,4,3.88
16,3,56.27,5,3.95
17,3,8.71,4,4.54
18,3,26.29,3,3.36
19,3,21.4,5,4.84
20,3,11.71,5,4.39
21,3,10.0,4,3.98
22,3,202.5,4,4.27
23,3,258.0,4,4.12
24,3,132.0,4,3.94
25,3,95.12,4,3.99
26,3,20.5,5,4.73
27,3,50.5,4,3.99
28,3,40.42,3,3.29
29,3,38.73,4,4.2
30,3,9.12,4,4.16
31,3,63.5,4,3.45
32,3,143.0,4,3.36
33,3,33.15,5,3.88
34,3,90.5,4,4.01
35,3,41.0,1,3.09
36,3,46.27,4,4.18
37,3,39.12,5,4.14
38,3,136.0,4,4.26
39,3,158.33,2,3.3
40,3,112.0,2,3.49
41,3,69.4,4,3.72
42,3,60.43,5,4.32
43,3,141.33,5,3.84
44,3,45.38,4,4.24
45,3,54.36,4,3.58
46,3,18.24,5,4.34
47,3,32.65,4,3.89
48,3,21.33,4,4.63
49,3,47.0,5,4.62
50,3,24.5,4,4.16
51,3,161.0,5,3.95
52,3,25.22,3,4.68
53,3,86.0,5,4.97
54,3,28.27,4,3.4
55,3,97.36,5,4.46
56,3,51.4,4,4.38
57,3,9.69,4,4.0
58,3,371.0,2,2.28
59,3,45.25,5,4.48
60,3,86.11,4,4.35
61,3,39.67,5,4.41
62,3,19.05,4,4.19
63,3,38.45,5,4.33
64,3,86.33,5,4.35
65,3,50.44,3,3.75
66,3,41.12,4,3.19
67,3,78.25,4,3.77
68,3,18.37,4,4.21
69,3,40.18,4,4.24
70,3,215.0,2,3.72
71,3,147.5,5,3.87
72,3,10.11,4,3.93
73,3,163.67,4,4.1
74,3,28.58,3,3.47
75,3,44.11,5,5.0
0,4,65.11,5,4.66
1,4,26.28,4,3.37
2,4,14.13,4,3.7
3,4,42.69,5,4.99
4,4,52.89,5,4.5
5,4,37.8,4,4.08
6,4,35.67,4,4.26
7,4,15.93,4,4.22
8,4,43.78,4,4.99
9,4,57.42,4,4.03
10,4,54.4,2,3.04
11,4,78.6,4,3.5
12,4,37.46,5,4.55
13,4,14.88,4,4.28
14,4,67.2,5,3.87
15,4,83.0,4,4.26
16,4,39.0,4,4.14
17,4,7.25,5,4.08
18,4,26.29,3,3.36
19,4,80.76,5,4.07
20,4,6.78,5,4.08
21,4,10.0,4,3.98
22,4,81.43,3,3.95
23,4,268.0,3,3.01
24,4,106.0,4,4.24
25,4,32.67,4,3.72
26,4,16.03,4,4.19
27,4,50.5,4,3.99
28,4,61.5,3,3.53
29,4,13.25,5,4.62
30,4,62.5,4,3.56
31,4,8.43,5,4.72
32,4,16.7,5,4.33
33,4,29.18,4,4.09
34,4,10.54,5,4.06
35,4,72.75,1,2.62
36,4,155.67,4,3.46
37,4,27.89,5,3.95
38,4,8.71,4,4.54
39,4,55.29,2,2.72
40,4,37.36,4,4.55
41,4,105.0,5,4.53
42,4,36.0,4,4.22
43,4,65.4,5,4.68
44,4,37.89,4,4.1
45,4,52.75,4,4.24
46,4,8.15,5,4.22
47,4,43.48,5,4.99
48,4,85.5,4,4.45
49,4,51.5,5,4.38
50,4,67.38,4,3.64
51,4,154.0,4,3.51
52,4,26.25,2,3.26
53,4,86.0,5,4.97
54,4,30.5,4,4.01
55,4,191.86,5,4.6
56,4,55.75,4,3.62
57,4,10.83,4,3.82
58,4,371.0,2,2.28
59,4,27.97,4,3.41
60,4,76.67,3,2.95
61,4,100.1,5,4.73
62,4,48.5,4,4.48
63,4,16.79,5,4.16
64,4,12.47,5,4.24
65,4,47.0,4,4.62
66,4,213.0,4,3.86
67,4,39.17,4,4.14
68,4,96.33,3,4.06
69,4,61.5,4,3.53
70,4,9.73,4,3.99
71,4,42.83,5,4.99
72,4,56.25,4,3.95
73,4,76.14,3,2.85
74,4,14.52,4,4.2
75,4,204.5,5,4.31
